ID|Nombre de la Unidad Económica|Razón social|Código de la clase de actividad SCIAN|Descripcion estrato personal ocupado|Tipo de establecimiento|Correo electrónico|Sitio en Internet|Fecha de incorporación al DENUE
426671|QUINTA LOS SOLES DE SOLIS||112512|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
427455|LAVADO DE REJAS LA BONDAD S.C. DE RL, DE C.V.|LAVADO DE REJAS LA BONDAD S.C. DE RL, DE C.V.|115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
433911|TECNOLOGÍA Y DE NAH-TUNICHSCDERLDE, C.V.||115310|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
443318|ACUACULTORES DE CHIAPAS, S.A. DE C.V. EL CAPIRO|ACUACULTORES DE CHIAPAS, S.A. DE C.V. EL CAPIRO|112512|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
443319|ACUACULTORES DE LA CANDELARIA DE MAPASTEPEC S.C. DE RL, DE C.V.|ACUACULTORES DE LA CANDELARIA DE MAPASTEPEC, S.C. DE R.L. DE C.V.|112512|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
447202|BODEGA DE BANANO DE PONCHO||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
448132|PROQUITAP||115112|0 a 5 personas|Fijo|PROQUITAP@HOTMAIL.COM|PROQUITAPSADCV.COM,MX|dic-14
450570|OFICINAS ADMINISTRACIÓN DE HUERTAS SIN NOMBRE||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
452063|AGROQUIMICOS AGROBIOSSER||115210|0 a 5 personas|Fijo|GARYBAY67@YAHOO.COM.MX|No Tiene|dic-14
452279|OFICINAS DEL RANCHO EL TESORO||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
457333|EMPACADORA DE PLATANO S.P.R.D.L|GRUPO SANTA PATRONA MARIA DE GUADALUPE|115113|31 a 50 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
472598|VENTA DE PRODUCTOS AGROQUÍMICOS AGRO H2O||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
490114|GANADERA LOCAL GENERAL DE ARRIAGA CHIAPAS||115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
522536|ARIC SERVICIOS AGRICOLAS BANANEROS DE TAPACHULA DE RL|ASOCIACIÓN RURAL DE INTERES COLECTIVO SERVICIOS AGRICOLAS BANANEROS DE TAPACHULA|115111|6 a 10 personas|Fijo|SERAGRI83@HOTMAIL.COM|No Tiene|jul-10
533346|BASCULA EJIDAL DE TEMOSACHIC|EJIDO TEMOSACHIC|115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
542742|SEMILLAS CUSARARE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
543830|GALDISA|AGROINDUSTRIAS GALDISA, S.A. DE C.V.|115113|31 a 50 personas|Fijo|AGALDISA@PRODIGY.NET.MX|WWW.GALDISA.COM.MX|jul-10
554286|DISTRIBUIDORA JAFRA||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
564316|FRUTAS CASA GRANDE S.P.R. DE RS, DE C.V.|FRUTAS CASA GRANDE S.P.R. DE RS, DE C.V.|115113|11 a 30 personas|Fijo|CASAGRANDE1@PRODIGY.NET.MX|HTTP://WWW.FRUTASCASAGRANDE.COM/|jul-10
569965|CAL NUTS, S. DE R.L. DE C.V.|CAL NUTS, S. DE R.L. DE C.V.|115119|51 a 100 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
576150|RAMOS HERMANOS INTERNACIONAL S.P.R. DE RL, DE C.V.|RAMOS HERMANOS INTERNACIONAL, S.P.R. DE R.L. DE C.V.|115113|11 a 30 personas|Fijo|MODESTONEVAREZ@RAMOSHERMANOS.NET|No Tiene|dic-14
576163|RAMOS HERMANOS INTERNACIONAL S.P.R. DE RL, DE C.V.|RAMOS HERMANOS INTERNACIONAL, S.P.R. DE R.L. DE C.V.|115113|6 a 10 personas|Fijo|MODESTONEVAREZ@RAMOSHERMANOS.NET|No Tiene|dic-14
580308|FRUTICULTORES UNIDOS DE CHIHUAHUA, S.P.R DE R.L.|FRUTICULTORES UNIDOS DE CHIHUAHUA, S.P.R DE R.L.|115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
580446|UNIÓN DE PRODUCCIÓN Y COMERCIALIZACIÓN DEL NORTE|UNIÓN DE PRODUCCIÓN Y COMERCIALIZACIÓN DEL NORTE, S.P.R. DE C.V.|115113|51 a 100 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
580855|ARROYO SECO|ARROYO SECO S.P.R, DE R.L. DE C.V.|115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
581054|AGROFRUTAS DEL CAMPO||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
582186|EMPAQUE SAN JORGE||115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
582226|DESCASCARADORA DE NUEZ||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
586451|JUNTA DE SANIDAD VEGETAL DE CAMRGO CHIHUAHUA||115111|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
586931|LA HERMANOS||115113|51 a 100 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
599790|FUMIGACIÓN AEREA||115111|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
607965|TECNOVET DE MÉXICO|TECNOVET DE MEXICO, S.A. DE C.V.|115210|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
607966|ABS MÉXICO|ABS DE MEXICO, S.A. DE C.V.|115210|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
609348|SAM PECAN|SAM PECAN COMPANY, S. DE R.L. DE C.V.|115113|51 a 100 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
620464|SELECCIONADORA DE SEMILLAS||115112|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
696550|COMERCIALIZADORA Y DISTRIBUIDORA DE VÍVERES, S.A. DE C.V.|COMERCIALIZADORA DE VÍVERES, S.A. DE C.V.|115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
708802|EMPACADORA TEOTIHUACAN|EMPACADORA TEOTIHUACAN, S.A. DE C.V.|115113|6 a 10 personas|Fijo|EMPACADORATEO@GMAIL.COM|No Tiene|dic-14
709191|COMERCIALIZADORA INTERNACIONAL AGRÍCOLA MACO|COMERCIALIZADORA INTERNACIONAL AGRÍCOLA MACO|115113|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
711837|GRANJAS GMHM, S.A. DE C.V.|GRANJAS GMHM, S.A. DE C.V.|115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
715286|COMERCIO DE LEGUMBRES SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
715828|BENEFICIO DE PRODUCTOS AGRÍCOLAS||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
715860|ALMACÉN Y LAVADO DE JICAMA||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
715862|ALMACÉN Y LAVADO DE JICAMAS||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
789438|VENTA DE NUECES||115113|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
884856|SISTEMAS DE VERIFICACIÓN METROLOGICA DE MEXICO, S.A. DE C.V.|SISTEMAS DE VERIFICACIÓN METROLOGICA DE MEXICO, S.A. DE C.V.|115210|6 a 10 personas|Fijo|SIVERMEX@PRODIGY.NET.MX|No Tiene|dic-14
899950|STAGE LUX, S.A. DE C.V.|STAGE LUX, S.A. DE C.V.|115210|6 a 10 personas|Fijo|STAGELUX@PRODIGY.NET.MX|No Tiene|dic-14
906113|COMERCIALIZADORA GERMINAL, S.A. DE C.V.||115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
930747|CRIADERO DE TRUCHAS RANCHO LA ROSITA||112512|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
930838|CRIADERO DE TRUCHAS||112512|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
962400|CONTROL DE AVES|ARPILYM, S.A. DE C.V.|115210|11 a 30 personas|Fijo|Sin Correo Electronico|WWW.AVESCONTROL.COM.MX|jul-10
1072965|BODEGA BENEFICIADORA DE FRIJOL||115113|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1073423|ASOCIACIÓN GANADERA LOCAL DE SANTA MARIA DEL ORO|ASOCIACIÓN GANADERA LOCAL DE SANTA MARÍA DEL ORO|115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1075488|UNIDAD DE CONSERVACIÓN Y DESARROLLO FORESTAL INTEGRAL TOPIA, S.C.|UNIDAD DE CONSERVACIÓN Y DESARROLLO FORESTAL INTEGRAL TOPIA, S.C.|115310|11 a 30 personas|Fijo|UCODEFI@PRODIGY|No Tiene|jul-10
1096148|VENTA DE COAJADAS||115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1097223|BASCULA Y CORRAL DE ALMACÉN||115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1101660|BASCULA EJIDAL|EJIDO VANGUARDIA OCAMPO DURANGO|115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1108645|BODEGA O ALMACÉN||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1167070|TUZANA MANZANA||115113|0 a 5 personas|Fijo|TUZANAMANZANA@GIMEIL.COM|No Tiene|dic-14
1179274|LOCAL DE BASCULA LAS ANIMAS||115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1199429|CONSULTORIO INTEGRAL FORESTAL DEL NORESTE DEL ESTADO DE GUANAJUATO||115310|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1209138|BODEGA EMPACADORA DE JITOMATES||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1211571|INCUBADORA LOS MORENOS||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1211581|FUMIGACIONES FUROCE, S.A. DE C.V.|FUMIGACIONES RODRÍGUEZ CENTENO FUROCE, S.A. DE C.V.|115111|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1229246|ASESORÍA LABORAL SIN NOMBRE||115112|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1243179|LAVADORA DE ZANAHORIA SIN NOMBRE||115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1247547|LABORATORIOS FERTILAB|FERTILIDAD DE SUELOS, S. DE R.L.|115119|11 a 30 personas|Fijo|LABORATORIO@FERTILAB.COM.MX|WWW.FERTILAB.COM.MX|dic-14
1254083|LAVADORA DE ZANAHORIAS SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1315946|LAVADORA DE ZANAHORIAS SIN NOMBRE||115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1336162|DESPATAR FRESA SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1338882|LAVADORA DE ZANAHORIA SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1338936|LAVADORA DE ZANAHORIAS||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1338956|LAVADORA DE ZANAHORIAS||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1355866|CONCERCOP|CONCERCOP DE MEXICO, S.A. DE C.V.|115111|0 a 5 personas|Fijo|CONSERCO_2011@HOTMAIL.COM|No Tiene|jul-10
1399966|TORTILLERÍA MONTES||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1399998|TORTILLERÍA FATIMA||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1405904|SERVICIO DE CONTROL DE PLAGAS SERVIPCOP||115111|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1443473|MOLINO DE NIXTAMAL EL CALVARIO||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1446259|CRIADERO Y VENTA DE MOJARRA TILAPIA||112512|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1446269|DESGRANADORA SIN NOMBRE||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1447037|GIMNASIO POWE TEC||115112|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1448114|GRANJA ACUÍCOLA Y PORCICOLA|COCULA VIVO, S.P.R. DE R.L.|112512|0 a 5 personas|Fijo|LIB.63.COC@GMAIL.COM|No Tiene|dic-14
1465349|CENTRO DE AGRONEGOCIOS PARA EL DESARROLLO SUSTENTABLE DE LA COSTA GRANDE|CENTRO DE AGRONEGOCIOS PARA EL DESARROLLO SUSTENTABLE DE LA COSTA GRANDE|115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1467690|MADURADORA DE PLATANO||115113|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1477418|EMPAQUE DE MANGO||115113|6 a 10 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1518939|QUEBRADORA DE NUÉZ SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1546650|QUEBRADORA DE NUEZ SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1546674|GRANOS Y SEMILLAS SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1546678|QUEBRADORA DE NUEZ SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1546696|MAQUILADORA DE QUEBRADORA DE NUÉZ SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1546697|QUEBRADORA DE NUÉZ SIN NOMBRE||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1561424|VENTA DE PESCADO SIN NOMBRE||114119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1561425|VENTA DE PESCADO SIN NOMBRE||114119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1609556|CORRALES LA ANCHETA||115210|6 a 10 personas|Semifijo|Sin Correo Electronico|No Tiene|jul-10
1627297|AGRICULTORES UNIDOS DEL MONTE LARGO, S.A. DE C.V.||115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1630141|CITRICOS LA PURÍSIMA|CITRICOS LA PURISIMA, S.A. DE C.V.|115113|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1638548|BIOMASA LABORATORIO DE PLANTAS, S.A. DE C.V.||115119|11 a 30 personas|Fijo|Sin Correo Electronico|No Tiene|jul-10
1640341|AGRIGASER||115119|11 a 30 personas|Fijo|AGRIGASER1951@HOTMAIL.COM|No Tiene|jul-10
1660169|OFICINA DE CRÍA DE GANADO Y SIEMBRA||115210|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|jul-13
1672679|BODEGA PROVEEDORA AGRÍCOLA DEL CENTRO|PROVEEDORA AGRÍCOLA DEL CENTRO, S.A. DE C.V.|115119|0 a 5 personas|Fijo|PROAGROCEN@HOTMAIL.COM|No Tiene|dic-14
1687562|MAQUILA DE INCUBACION SIN NOMBRE|MAQUILA DE INCUBACION|115119|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
1688575|BENEFICIO DE PRODUCTOS AGRÍCOLAS||115113|0 a 5 personas|Fijo|Sin Correo Electronico|No Tiene|dic-14
