id_direccion|Número exterior o kilómetro|Letra exterior|Tipo de asentamiento humano|Nombre de asentamiento humano|Código Postal|Clave entidad|Clave municipio|Clave localidad|Área geoestadística básica |Manzana
56|0|SN|EJIDO|EJIDO EL CONEJO|0|10|5|304|3255|800
57|0|SN|EJIDO|EL REFUGIO ( EL CONEJO)|0|10|5|304|3255|800
58|0|. SN|SECTOR|NINGUNO|0|10|4|74|1478|15
59|0|SN|EJIDO|EL REFUGIO ( EL CONEJO )|0|10|5|304|3255|800
60|0|SN|EJIDO|EL REFUGIO ( EL CONEJO )|0|10|5|304|3255|800
61|0|SN|EJIDO|EL REFUGIO ( EL CONEJO )|0|10|5|304|3255|800
62|309||COLONIA|DEL MAESTRO|0|10|5|1|227|5
63|0|KILÓMETRO 19|EJIDO|EJIDO MORCILLO|0|10|5|7209|3024|800
64|0|SN|SECTOR|NINGUNO|0|10|7|1|927|6
65|11|||COMUNIDAD EL TULE|0|11|23|547|41|800
66|0|SN|PROLONGACIÓN|RANCHO EL SALTO|0|11|41|7001|54|800
67|207||COLONIA|SAN JOSE EL ALTO|0|11|20|1|2417|1
68|0|SN|PROLONGACIÓN|RANCHO BUENAVISTA|0|11|42|259|009A|800
69|3|||SAN JOSE DE CERVERA|0|11|15|67|1052|3
70|142|B|COLONIA|RINCONADA DE LAS FLORES|0|11|37|1|403|36
71|334||COLONIA|COLONIA DEL SOL|0|11|33|1|404|14
72|0|SN|COTO|SAN VICENTE|0|11|17|542|10|800
73|0|SN|COLONIA|POBLADO SAN LORENZO|0|12|3|45|306|800
74|0|KILÓMETRO 7|COLONIA|LA MORA|0|13|50|3|29|800
75|0|SN||CANTERA DE HIDALGO|0|13|39|8|17|800
76|0|SN|EJIDO|SAN PEDRO TLAQUILPAN|0|13|83|30|72|800
77|0|SN|BARRIO|EL JUDÍO|0|13|48|217|20|800
78|0|SN|COLONIA|LA TRINIDAD|0|13|83|29|72|800
79|0|KILÓMETRO 18||LOCALIDAD SAN IGNACIO DE CARBONERA|0|14|83|15|81|1
80|0|A 90|COLONIA|PENINSULA DE SANTIAGO|0|14|27|270|59|800
81|1|||EL CHANTE|0|14|15|27|96|11
82|158||EJIDO|TEQUESQUITE|0|14|40|140|84|800
83|699||COLONIA|EL CABALLITO|0|14|55|1|72|15
84|146||PUEBLO|SAN JUANITO ESCOBEDO|0|14|7|1|008A|14
85|699||COLONIA|EL CABALLITO|0|14|55|1|72|15
86|699||COLONIA|EL CABALLITO|0|14|55|1|72|1
87|68||EJIDO|LA QUEMADA|0|14|55|7|34|23
88|34||PUEBLO|SAN ANDRES|0|14|55|1|72|1
89|26|||HOSTOTIPAQUILLO|0|14|40|1|135|18
90|205||COLONIA|CENTRO|0|14|55|1|91|34
91|16||FRACCIONAMIENTO|COLINAS DE TEQUILA|0|14|94|1|437|1
92|16||EJIDO|EL COBANO|0|14|94|33|174|13
93|16||EJIDO|LA ESTANCIA|0|14|7|9|22|8
94|2700|. .|COLONIA|LOS ANGELES|0|14|76|256|002A|800
95|10||PARAJE|COLONIA SAN ANDRÉS IXTLAN|0|14|79|30|267|6
96|699||COLONIA|EL CABALLITO|0|14|55|1|72|1
97|699||COLONIA|EL CABALLITO|0|14|55|1|72|1
98|0|SN|PROLONGACIÓN|LÁZARO CÁRDENAS - LA ESPERANZA|0|14|22|89|14|800
99|0|SN|COLONIA|TEQUESQUINAHUAC|0|15|99|145|1116|800
100|0|SN||SAN LUCAS TOTOLMALOYA|0|15|3|24|225|2
101|0|SN|BARRIO|SAN MARTIN|0|15|34|1|81|28
102|0|KM 35|COLONIA|AYOTZINGO|0|15|50|30|70|800
103|0|SN|PARAJE|LA LOMA DE SAN ANDRÉS CUEXCONTITLAN|0|15|106|144|131A|7
104|0|SN|EJIDO|COATEPEC IXTAPALUCA|0|15|39|146|711|800
105|0|SN|PUEBLO|SAN MARCOS TLAXUCHILCO|0|15|65|16|73|800
106|0|SN|PARAJE|COATEPEC IXTAPALUCA|0|15|39|150|1527|800
107|0|SN|EJIDO|LA LOMA|0|15|106|144|131A|16
108|0|SN|EJIDO|LA LOMA|0|15|106|144|131A|800
109|0|SN|COLONIA|COATEPEC|0|15|39|156|711|800
110|0|SN|PARAJE|999|0|15|39|124|711|800
111|0|SN|COLONIA|EL TENAYO|0|15|104|1|16|1
112|0|KILÓMETRO 4|COLONIA|AYAPANGO|0|15|17|42|57|800
113|0|KILÓMETRO 23+500|PARAJE|IXTAPALUCA ESTADO DE MÉXICO|0|15|39|42|726|800
114|0|SN|COLONIA|SAN FRANCISCO|0|15|39|145|711|800
115|0|SN|PARAJE|BARRANQUILLAS|0|15|72|5|003A|800
116|0|SN|PUEBLO|SAN DIEGO LINARES|0|15|106|144|131A|800
117|0|SN||LA CONCEPCIÓN PUEBLO|0|15|3|9|136|10
118|0|SN|PUEBLO|SAN MARCOS DE LA CRUZ CALIMAYA|0|15|18|7|88|800
119|0|SN|EJIDO|LA LOMA|0|15|106|144|131A|800
120|0|SN|BARRIO|BARRIO SAN MARTIN|0|15|34|1|81|28
121|0|SN|EJIDO|LA LOMA|0|15|106|144|131A|5
122|0|SN|EJIDO|SAN FRANCISCO ACUAUTLA|0|15|39|145|711|800
123|0|KILÓMETRO 5|EJIDO|SANTA CRUZ|0|15|39|141|711|800
124|0|SN|PARAJE|COATEPEC|0|15|39|147|1527|800
125|0|SN|PUEBLO|PALMAR CHICO|0|15|8|27|151|25
126|0|SN|COLONIA|SAN MIGUEL TOTOLCINGO|0|15|2|47|393|800
127|0|S/N|PARAJE|CERRO DEL JICOTE|0|15|10|4|41|800
128|999||PARAJE|COATEPEC|0|15|39|146|711|800
129|0|KILÓMETRO 4+400|COLONIA|SAN VICENTE CHICOLOAPAN|0|15|29|7202|151|800
130|0|SN|EJIDO|CERRO DEL JICOTE|0|15|10|4|41|800
131|556||SECTOR|EL CERRITO DE LA CRUZ|0|16|89|53|31|8
132|0|SN                                 |EJIDO|EL TIGRE|0|18|5|130|257|800
133|0|SN|COLONIA|LOMA DE LA TORTUGA|0|19|33|7204|858|800
134|5||COLONIA|SAN JERONIMO|0|19|39|1|1629|5
135|0|SN|COLONIA|NINGUNO|0|19|37|74|679|800
136|0|SN|EJIDO|EL DIENTE|0|19|39|1|3714|20
137|0|SN|PUEBLO|SANTA MARÍA TOTOLAPILLA|0|20|440|1|43|47
138|0|SN|CIUDAD|AJALPAN|0|21|10|1|121|5
139|0|SN|CIUDAD|AJALPAN|0|21|10|1|121|3
140|0|SN|CIUDAD|AJALPAN|0|21|10|1|121|3
141|0|SN|CIUDAD|AJALPAN|0|21|10|1|121|5
142|0|SN|CIUDAD|AJALPAN|0|21|10|1|121|5
143|0|SN|CIUDAD|AJALPAN|0|21|10|1|121|3
144|0|SN|PARAJE|SAN MARCOS|0|21|197|7204|59|800
145|0|KILÓMETRO 15|SECTOR|SANTO TOMAS CHAUTLA|0|21|114|7201|1088|800
146|0|SN|SECTOR|CERRO DE COJOATEPEQUEC|0|21|114|7201|1088|800
147|0|SN|SECTOR|CERRO DE COJOATEPEQUEC|0|21|114|7201|1088|800
148|0|SN|SECTOR|CERRO DE COJOATEPEQUEC|0|21|114|7201|1088|800
149|0|SN|SECTOR|SANTO TOMAS CHAUTLA|0|21|114|7201|1088|800
150|0|SN|SECTOR|CERRO DE COSECAHUATLA|0|21|114|7201|1088|800
151|0|SN|COLONIA|SAN JUAN TEPEPA|0|21|114|7201|1088|800
152|0|SN||SAN JUAN ATZINGO|0|21|124|3|99|99
153|0|S/N||SAN JUAN ATZINGO|0|21|124|3|48|7
154|0|SN|BARRIO|SAN NICOLÁS CUARTA SECCIÓN|0|21|172|15|11|800
155|0|SN||LAGUNILLAS|0|22|8|17|113|44
156|0|SN||LOCALIDAD EL PULPITO|0|22|4|87|256|800
157|0|SN||SAN ILDEFONSO|0|22|1|39|61|15
158|0|SN||SAN ILDEFONSO|0|22|1|39|61|800
159|0|SN||SAN ILDEFONSO|0|22|1|121|61|3
160|0|SN||SAN ILDEFONSO|0|22|1|39|61|800
161|0|SN||SAN ILDEFONSO|0|22|1|39|61|800
162|0|SN||EL TEPOZAN|0|22|1|39|61|8
163|0|SN|PARAJE|NINGUNO|0|22|4|31|256|19
164|0|SN|PARAJE|ARROYO EL MEMBRILLO|0|22|4|63|260|1
165|0|SN|PARAJE|ARROYO DEL MEMBRILLO|0|22|4|63|260|1
166|0|SN|PARAJE|CAÑADA DEL PULPITO|0|22|4|63|260|1
167|0|SN|PARAJE|ARROYO EL MEMBRILLO EN EL PULPITO|0|22|4|87|256|800
168|0|SN|PARAJE|NINGUNO|0|22|4|31|256|19
169|0|SN|RANCHERÍA|EL TEPOZAN|0|22|1|39|61|800
170|0|SN|PARAJE|LA TRANCA|0|22|13|50|43|8
171|0|SN|PARAJE|NINGUNO|0|22|4|31|256|19
172|0|SN|PARAJE|LA LAJA EN LA CURVA|0|22|13|23|77|800
173|0|SN||EL MADROÑO|0|22|13|23|77|800
174|0|SN|PROLONGACIÓN|RANCHO SANTA LUCÍA ENTRE CRUCERO Y SAN DIEGO|0|23|6|398|170|800
175|0|SN|PUEBLO|LOCALIDAD LA PALMA CHARAY|0|25|10|661|971|800
176|407||COLONIA|CENTRO|0|25|6|1|3390|6
177|0|KILÓMETRO 6|SECTOR|NINGUNO|0|25|7|249|590|6
178|46|SN|COLONIA|MINA DE AGREGADOS Y TRITURADOS PAEZ|0|26|18|319|1648|800
179|0|SN|COLONIA|TRAMO KILÓMETRO 9- HORNOS|0|26|18|1675|1648|800
180|0|SN|COTO|CEDROS|0|26|42|816|768|800
181||SN|SECTOR|NINGUNO ÁLAMOS|0|26|3|250|1236|800
182||SN|COTO|EL SABINO Y EJIODO EL SAPOTE ÁLAMOS|0|26|3|250|1236|800
183|210||CIUDAD|NAVOJOA|0|26|42|1|1183|16
184||KILÓMETRO 250|OTRO (ESPECIFICAR)|POBLADO SANTA ANA DE YECORA|0|26|69|41|371|17
185|0|SN|COLONIA|CENTRO|0|26|33|99|294|99
186|0|SN||CIUDAD VICTORIA|0|28|41|202|1467|800
187|35|||ENTRE EL POBLADO LAS FLORES Y LA MISIÓN|0|28|22|890|1936|800
188|0|SN|PUEBLO|HIGUERILLAS|0|28|22|890|1936|800
189|0|SN|COLONIA|CIUDAD INDUSTRIAL XICOHTÉNCATL|0|29|31|17|39|32
190|0|SN|COLONIA|DZITYA|0|31|50|779|2042|800
191|0|SN|EJIDO|KINI|0|31|52|7009|110|800
192|0|SN|||0|31|95|64|48|800
193||KM 16.7|OTRO (ESPECIFICAR)|DOMICILIO CONOCIDO KM. 16.7 CARRETERA MERIDA MOTUL|0|31|51|58|43|800
194|0|SN||PUSTUNICH-TICUL|0|31|89|7|106|15
195|0|KILÓMETRO 4|SECTOR|NINGUNO|0|31|11|7013|90|800
196|0|SN|COLONIA|KANASÍN|0|31|41|7007|32|800
197|0|KILÓMETRO 1|COLONIA|COLONIA SAN JUAN|0|31|89|1|322|22
198|0|SN||CARRTERA|0|31|89|139|89|800
199|29||BARRIO|BARRIO NUEVO|0|32|43|1|31|50
200|0|SN||EL ORITO|0|32|56|26|003A|800
201|0|SN||SANJUANERO|0|32|56|26|003A|800
202|0|SN||SANJUANERO|0|32|56|26|003A|800
203|0|SN|COLONIA|NINGUNO|1000|26|29|1|1054|5
204|25||COLONIA|PUESTA DEL SOL|1000|26|41|1|021A|27
205|76||COLONIA|COLONIA SAN ÁNGEL INN|1060|9|10|1|1114|4
206|227||COLONIA|CLAVERIA|2080|9|2|1|699|4
207|196||EJIDO|Nva.odisea(zona Agri)e|2294|2|1|1527|7061|800
208|743||COLONIA|NARVARTE PONIENTE|3020|9|14|1|257|4
209|13||COLONIA|DEL VALLE NORTE|3103|9|14|1|223|5
210|682||COLONIA|DEL VALLE NORTE|3103|9|14|1|223|7
211|174||COLONIA|LA MODERNA|3510|9|14|1|172|9
212||S/N|COLONIA|COLONIA XALPA|3510|9|7|1|4857|35
213|492||COLONIA|NARVARTE|3600|9|14|1|044A|1
214|421||COLONIA|VÉRTIZ NARVARTE|3600|9|14|1|044A|2
215|421||COLONIA|VÉRTIZ NARVARTE|3600|9|14|1|044A|2
216|421||COLONIA|VÉRTIZ NARVARTE|3600|9|14|1|044A|2
217|533||COLONIA|GRANADA|3800|9|14|1|346|19
218|263||COLONIA|AJUSCO|4300|9|3|1|963|28
219|30||COLONIA|EDUCACIÓN|4400|9|3|1|501|11
220|458||COLONIA|LOMAS DEL CHAMIZAL|5129|9|4|1|176|16
221|56||COLONIA|CENTRO|6040|9|15|1|733|7
222|56||COLONIA|CENTRO|6040|9|15|1|733|7
223|56||COLONIA|CENTRO|6040|9|15|1|733|7
224|56||COLONIA|CENTRO|6040|9|15|1|733|7
225|389||COLONIA|CUAUHTEMOC|6500|9|15|1|930|4
226|263||COLONIA|ROMA NORTE|6700|9|15|1|998|16
227|263||COLONIA|ROMA|6700|9|15|1|998|16
228|285|0|COLONIA|Guadalupe Tepeyac|7840|9|5|1|1824|31
229|103|SN|COLONIA|Atasta De Serra|8100|27|4|1|831|49
230|0|SN|PUEBLO|Boca De Arroyo|8140|25|13|44|048A|800
231|702||COLONIA|Monte Alto|8960|28|3|122|1269|31
232|0|SN|PUEBLO|Amatlan|9234|30|13|65|14|800
233|157||CIUDAD|FRACCIONAMIENTO|9424|30|28|37|568|16
234|500|B|COLONIA|Maria De La Piedad|9640|30|39|1|59|7
235|106||COLONIA|EL TRIANGULO|9769|9|7|1|3327|36
236|0|sn|OTRO (ESPECIFICAR)|Ninguno|9900|32|9|128|44|800
237|820||COLONIA|LOMAS DE CHAPULTEPEC|11000|9|16|1|868|17
238|329|0|OTRO (ESPECIFICAR)|HUASTECA|11311|9|16|1|590|9
239|329|0|CIUDAD|HUASTECA|11311|9|16|1|590|9
240|11|0|OTRO (ESPECIFICAR)|LOS MORALES|11510|9|16|1|622|6
241|0|1|COLONIA|HUIXQUILUCAN|11520|9|4|1|369|2
242|222||COLONIA|LOS MORALES SECCIÓN PALMAS|11540|9|16|1|637|11
243|222||COLONIA|POLANCO|11540|9|16|1|637|11
244|39||OTRO (ESPECIFICAR)|POLANCO CHAPULTEPEC|11560|9|16|1|745|2
245|17||COLONIA|POLANCO IV SECCIÓN|11560|9|16|1|779|12
246|130|||POLANCO|11560|12|75|110|377|800
247|39||COLONIA|POLANCO CHAPULTEPEC|11580|9|16|1|745|2
248|39||COLONIA|POLANCO CHAPULTEPEC|11580|9|16|1|745|2
249|15||COLONIA|ANZURES|11590|3|2|77|9017|51
250|0|SN|SECCIÓN|ANZURES|11590|9|16|1|711|12
251|400||COLONIA|BOSQUES DE LAS LOMAS|11700|6|6|6|16|800
252|180||COLONIA|BOSQUES DE LAS LOMAS|11700|9|16|1|1245|1
253|69|SN|COLONIA|BOSQUES DE LAS LOMAS|11700|9|16|1|1264|8
254|2||COLONIA|SAN MIGUEL CHAPULTEPEC|11850|9|16|1|891|16
255|130||COLONIA|LA JOYA|14000|9|12|1|1015|4
256|0|SN||LOCALIDAD LOS ARCOS|20000|1|3|383|64|800
257|0|SN||CALVILLO|20000|1|3|1|153|19
258|303||COLONIA|CENTRO|20000|1|3|1|204|37
259|0|KILÓMETRO 14|EJIDO|LOC. EJIDO LOS CAÑOS|20000|1|1|907|1941|800
260|0|KILÓMETRO 3.8||CALVILLO|20000|1|3|1|153|14
261|2210|SN|COTO|EJIDO TEPEZALA|20000|1|1|7215|1250|800
262|1608||EXHACIENDA|ARBOLEDAS|20020|1|1|1|290|17
263|1507|A|COLONIA|GREMIAL|20030|1|1|1|375|16
264|204|0|FRACCIONAMIENTO|Ciudad Industrial|20290|1|1|1|1477|9
265|2210|||CIUDAD INDUSTRIAL|20290|1|1|1|1477|13
266|110||PARQUE INDUSTRIAL|SAN FRANCISCO|20304|1|11|1|66|19
267|217||COLONIA|CENTRO|20400|1|7|1|59|21
268|204|||PABELLÓN DE HIDALGO RINCÓN|20665|1|6|249|47|2
269|0|SN||SANTUARIO DEL TEPOZAN|20712|1|2|253|14|800
270|0|KILÓMETRO 17||LOCALIDAD EL TEMAZCAL|20830|1|3|90|30|5
271|106||PARAJE|LOC. TERRERO DE LA LABOR|20890|1|3|95|26|5
272|2|||LOCALIDAD TERRERO DE LA LABOR|20890|1|3|95|26|25
273|0|SN||PLANTA DE ASFALTO UNO|20980|1|5|15|004A|5
274||KILÓMETRO 53|COTO|HERIBERTO JARA|21360|2|2|191|3437|800
275|1039||FRACCIONAMIENTO|CUCAPAH INFONAVIT|21360|2|2|505|3761|800
276|0|K 142|ZONA FEDERAL|EJIDO INDUSTRIAL AÑO DE JUÁREZ 1972|21370|2|2|505|3761|800
277|0|KILÓMETRO 41+500||EL FARO|21384|2|2|1456|5645|800
278||SN|PUEBLO|SANTA VERONICA|21449|2|3|209|849|800
279|71|70.5|PARAJE|POBLADO LA RUMOROSA|21510|2|3|107|726|447
280|0|KILÓMETRO 7+500|EJIDO|HERIBERTO JARA|21610|2|2|1121|3437|800
281|0|KILÓMETRO 2+500|EJIDO|EJIDO HERIBERTO JARA|21611|2|2|1121|3437|800
282|0|SN|EJIDO|Hidalgo|21705|2|2|195|355A|800
283|123|123 .|COLONIA|SIERRAS PINTAS|21850|2|2|1670|3738|800
284|140||EJIDO|EJ. INDUSTRIAL AÑO DE JUÁREZ|21850|2|2|505|3761|800
285|20051|4|COLONIA|Baja Maq El Aguila|22215|2|4|1|5832|24
286|21837||COLONIA|EL REALITO DELEGACIÓN LA PRESA|22250|2|4|1949|2166|800
287|19701||COLONIA|LA PRESA|22253|2|4|1953|2166|800
288|21322||FRACCIONAMIENTO|CAMPESTRE MURUA|22520|2|4|1|460|28
289|103||FRACCIONAMIENTO|Juan Diego Residencial|22785|2|1|1|1293|5
290|567||COLONIA|ZONA CENTRO|22800|2|1|1|647|52
291|130||COLONIA|RECINTO PORTUARIO|22800|2|1|1|628|51
292|1762||COLONIA|ZONA CENTRO|22830|2|1|1|076A|27
293|0|SN||CAÑÓN DEL GALLO|22855|2|1|1|845A|32
294|155||FRACCIONAMIENTO|BAHÍA SUR|22880|2|1|1|7860|27
295|2186||FRACCIONAMIENTO|PLAYA ENSENADA|22880|2|1|1|632|1
296|2186||FRACCIONAMIENTO|PLAYA ENSENADA|22880|2|1|1|632|1
297|2186||COLONIA|COLONIA CARLOS PACHECO|22890|2|1|1|435|1
298|727||FRACCIONAMIENTO|VALLE DORADO|22890|2|1|1|5968|21
299|727||OTRO (ESPECIFICAR)|VALLE DORADO|22890|2|1|1|5968|21
300|0|SN|COLONIA|SANTA FE|22923|2|1|783|1984|27
301|203||COLONIA|LAZARO CARDENAS|22930|2|1|133|7269|2
302|0|SN|COLONIA|FLORES MAGÓN|22930|2|1|133|7381|10
303|299||EJIDO|EJ. BAJA CALIFORNIA|22930|2|1|133|7273|27
304|616||EJIDO|EJIDO NUEVO BAJA CALIFORNIA|22940|2|1|133|7273|34
305|0|SN|FRACCIONAMIENTO|POPULAR SAN QUINTIN|22940|2|1|857|8271|32
306|208||EJIDO|NUEVO BAJA CALIFORNIA|22940|2|1|78|7019|70
307|27||EJIDO|VALLE TRANQUILO|22960|2|1|1946|7076|8
308|57||PARAJE|EL ROSARIO DE ARRIBA|22960|2|1|2465|6256|800
309|0|SN|PUEBLO|EJIDO NUEVO URUAPAN|22960|2|1|598|7080|13
310|55||EJIDO|NUEVO URUAPAN|22960|2|1|46|7131|20
311|27||EJIDO|EL SOCORRO|22960|2|1|720|7076|2
312|0|KILÓMETRO 60|COTO|NUEVO URUAPAN|22960|2|1|598|7080|5
313|0|SN|PUEBLO|EL ROSARIO DE ABAJO|22960|2|1|1729|7080|1
314|0|SN|COLONIA|PUNTA MORRO REDONDO|22990|2|1|4444|9922|79
315|0|SN|COLONIA|PUNTA MORRO REDONDO|22990|2|1|4444|9922|76
316|0|SN|COLONIA|PUNTA MORRO REDONDO|22990|2|1|4444|9922|41
317|0|SN|COLONIA|EL MORRO REDONDO|22990|2|1|4444|9922|7
318|0|SN|COLONIA|MORRO REDONDO|22990|2|1|124|9922|3
319|0|SN|COLONIA|PUNTA MORRO REDONDO|22990|2|1|4444|9922|81
320|0|SN|COLONIA|LOS OLIVOS|23040|3|3|1|2017|25
321|328||FRACCIONAMIENTO|BELLA VISTA|23050|3|3|1|3814|12
322|0|2434|COLONIA|BENITO JUAREZ|23050|3|3|2269|2411|800
323|0|SN|COLONIA|PUEBLO NUEVO|23060|3|3|1|3710|19
324|0|SN|COLONIA|JUAREZ|23070|3|3|1|3176|12
325|119||COLONIA|FOVISSTE|23080|3|3|2530|2568|800
326|4985||COLONIA|PUESTA DEL SOL|23090|3|3|1|2233|55
327|760||COLONIA|PUEBLO NUEVO|23201|3|3|1|302A|3
328|0|SN||LOCALIDAD SAN JUAN DE LA COSTA|23205|3|3|963|2375|800
329||SN|OTRO (ESPECIFICAR)|LOCALIDAD PUNTA ARENAS|23230|3|3|1923|2498|800
330|0|SN|RANCHERÍA|ARROYO CADUANO|23434|3|8|56|591|800
331|0|SN|COLONIA|EL CHAMIZAL|23434|3|8|1|084A|3
332|699||COLONIA|PUEBLO NUEVO|23600|3|1|1|2898|18
333|70|||JARAL|23880|3|9|280|33|800
334|0|SN|COLONIA|EXPLORADORES|23880|3|9|1|103|1
335|0|SN|COLONIA|EXPLORADORES|23880|3|9|1|283|2
336||. .|SECTOR|CONOCIDA|23910|3|2|77|9017|1
337|0|SN||ISLA SAN MARCOS|23910|3|2|77|9017|33
338|8910|8910 A.P. 7|COLONIA|PUNTA STA. ROSALÍA|23920|3|2|1478|3249|800
339|0|SN|RANCHO|LA CRIBA|23920|3|2|97|2965|58
340|0|SN|COLONIA|NINGUNO|23920|3|2|1502|3249|800
341|0|. .|SECTOR|AL NORTE DE SANTA ROSALÍA KM5.5|23920|3|2|1734|3249|800
342|0|SN||1748|23920|3|2|1748|3249|800
343|0|SN|COLONIA|MAGISTERIAL|23938|3|2|482|4073|6
344|0|SN|COLONIA|CENTRO|23940|3|2|66|3554|10
345|7||COLONIA|CENTRO|23950|3|2|14|315A|16
346|48||COLONIA|INFONAVIT|23950|3|2|15|3516|15
347|0|SN|COLONIA|CHULBAC|24000|4|2|1|1618|3
348|84||COLONIA|HUANAL|24070|4|2|1|1336|9
349|71||COLONIA|Centro|24100|4|3|1|34|10
350|0|SN|COLONIA|PUERTO PESQUERO|24120|4|3|1|1210|5
351|16||COLONIA|PUERTO PESQUERO|24129|4|3|1|1210|1
352|1||PUERTO|LAGUNA AZUL|24129|4|3|1|1210|39
353|0|SN|COLONIA|PUERTO PESQUERO|24129|4|3|1|1210|35
354|31|A|COLONIA|GUANAL|24130|4|3|1|91|2
355|0|LOTE 1|PARQUE INDUSTRIAL|LAGUNA AZUL|24140|4|3|1|1210|15
356|0|LOTE 1 Y 2|PUERTO|LAGUNA AZUL|24140|4|3|1|1210|15
357|26||PUERTO|Industrial Pesquero Laguna Azul|24140|4|3|1|1210|35
358|90||COLONIA|BURÓCRATAS|24160|4|3|1|251A|3
359|90|S/N|OTRO (ESPECIFICAR)|BUROCRATAS|24160|4|3|1|251A|3
360||S/N||CIUDAD DEL CARMEN|24160|4|3|1|251A|48
361||S/N|COLONIA|PEMEX II|24160|4|3|1|251A|48
