ID|Nombre de la Unidad Económica|Razón social|Código de la clase de actividad SCIAN|Descripcion estrato personal ocupado|Correo electrónico|Sitio en Internet|Fecha de incorporación al DENUE|Tipo de establecimiento|id_direccion
6186017|PAVIMENTOS Y CONSTRUCCIONES DE AGUASCALIENTES, S.A. DE C.V.|PAVIMENTOS Y CONSTRUCCIONES DE AGUASCALIENTES, S.A. DC|212321|31 a 50 personas|PAVYCONSA@YAHOO.COM.MX||jul-10|Fijo|14
6186018|MINERÍA DE OTRAS PIEDRAS DIMENSIONADAS||212319|6 a 10 personas|||dic-14|Fijo|15
6186019|TRITURADOS Y PREMESCLADOS DE AGUASCALIENTES, S.A. DE C.V.|TRITURADOS Y PREMESCLADOS DE AGUASCALIENTES, S.A. DE C.V.|212321|11 a 30 personas|TRIPRESA@YAHOO.COM.MX||dic-14|Fijo|16
6186020|MATERIALES PARA LA CONSTRUCCION SIN NOMBRE||212321|0 a 5 personas|||jul-10|Fijo|17
6186021|MATERIALES TRITURADOS DE AGUASCALIENTES, S.A. DE C.V.|MATERIALES TRITURADOS DE AGUASCALIENTES, S.A. DE C.V.|212321|11 a 30 personas|MATRASA@AGUASCALIENTES.COM|WWW.MATRASA.COM.MX|jul-10|Fijo|18
6186022|SACROSA TRITURADOS DE AGUASCALIENTES|SACROSA TRITURADOS DE AGUASCALIENTES|212321|11 a 30 personas|SACROSA@HOTMAIL.COM||jul-10|Fijo|19
6186023|MINA LOS MAGUEYES|BEADRY FIRE AGATE VENTURE, S.A. DE C.V.|212399|6 a 10 personas|BEAUDRYAGS@PRODIGY.NET.MX||mar-11|Fijo|20
6186024|MINA LAS ANGELICAS||212399|0 a 5 personas|||dic-14|Fijo|21
6186025|MINA EL ENCINO||212399|6 a 10 personas|||jul-10|Fijo|22
6186026|MINA EL CHISPAZO||212319|0 a 5 personas|||jul-10|Fijo|23
6186027|TRITURADOS ESPECIALIZADOS J.M. SRLMI., C.V.||212321|0 a 5 personas|||mar-11|Fijo|24
6186028|MATERIALES PUENTE NEGRO DE COSIO, S.A. DE C.V.|MATERIALES PUENTE NEGRO DE COSIO, S.A. DE C.V.|212321|51 a 100 personas|PUENTENEGRO@PRODIGY.NET.MX||jul-10|Fijo|25
6186029|MAQUINARIA Y CONSTRUCCIONES CAFA, S.A. DE C.V.|MAQUINARIA Y CONSTRUCCIONES CAFA, S.A. DE C.V.|212321|11 a 30 personas|CAFA@CAFA.COM.MX|WWW.CAFA.COM.MX|mar-11|Fijo|26
6186030|GRUPO SEIS DEL EJIDO CHAPALA||212321|0 a 5 personas|MARTIN-2102@HOTMAIL.COM||jul-10|Fijo|27
6186031|CONCECION EJIDO CHAPALA||212321|6 a 10 personas|||jul-10|Fijo|28
6186032|PÉTREOS DEL PACIFICO|PÉTREOS DEL PACIFICO, S.A. DE C.V.|212393|31 a 50 personas|MLARA@AMAYACURIEL.COM||jul-10|Fijo|29
6186033|MATERIALES CALISOS Y RENTAS||212311|11 a 30 personas|RAFAELTKT@YAHOO.COM||mar-11|Fijo|30
6186034|CONSTRUCTORA GALLEGO, S.A. DE C.V.|CONSTRUCTORA GALLEGO, S.A. DE C.V.|212321|11 a 30 personas|ANGHY12000@YAHOO.COM.MX||dic-14|Fijo|31
6186035|AGREGADOS Y CONSTRUCCIONES DEL PACIFICO, S.A. DE C.V.|AGREGADOS Y CONSTRUCCIONES DEL PACIFICO, S.A. DE C.V.|212321|0 a 5 personas|AQRCONST@PRODIGY.NET||jul-10|Fijo|32
6186036|PÉTREOS LA PURISIMA, S.A. DE C.V.|PÉTREOS LA PURISIMA, S.A. DE C.V.|212321|6 a 10 personas|EMPRESAS40@YAHOO.COM.MX||dic-14|Fijo|33
6186037|OPERADORA DE SAL, S.A. DE C.V.|OPERADORA DE SAL, S.A. DE C.V.|212391|0 a 5 personas|JAMAS06@PRODIGY.NET.MX||dic-14|Fijo|34
6186038|B.C. MINING CO., S.A. DE C.V.|B.C. MINING CO., S.A. DE C.V.|212291|11 a 30 personas|JPS_1962@YAHOO.COM.MX||jun-12|Fijo|35
6186039|CALIFORNIAN MINERS EMPORIUM|CALIFORNIAN MINERS EMPORIUM, S. DE R.L. DE C.V.|212393|6 a 10 personas|CAPEANDRADRE@HOTMAIL.COM||mar-11|Fijo|36
6186040|LAS CIENEGAS, S. DE P.R. DE R.L.|LAS CIENEGAS, S. DE P.R. DE R.L.|212321|51 a 100 personas|PIEDRADEMAR@HOTMAIL.COM||dic-14|Fijo|37
6186041|EL MAVAR, S. DE P.R. DE R.L.|EL MABAR, S. DE P.R. DE R.L.|212321|11 a 30 personas|||dic-14|Fijo|38
6186042|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|39
6186043|LOS BARROSOS, S.P.R. DE R.L.|LOS BARROSOS, S.P.R. DE R.L.|212329|0 a 5 personas|||dic-14|Fijo|40
6186044|S.P.R. DE R.L. LOS MS|S.P.R. DE R.L. LOS MS|212319|0 a 5 personas|||dic-14|Fijo|41
6186045|PRODUCTOS PETREOS, S.A. DE C.V.|PRODUCTOS PETREOS, S.A. DE C.V.|212321|11 a 30 personas|PETREOS.VALDES@HOTMAIL.COM||dic-14|Fijo|42
6186046|SOCIEDAD DE PRODUCCIÓN RURAL AGREDANOS|SOCIEDAD DE PRODUCCIÓN RURAL AGREDANOS, S.P.R. DE R.L.|212321|11 a 30 personas|||jul-10|Fijo|43
6186047|EJIDO IPOLITO RENTERIA DE SOCIEDAD COLECTIVA|EJIDO IPOLITO RENTERIA DE SOCIEDAD COLECTIVA|212321|0 a 5 personas|||jul-10|Fijo|44
6186048|EJIDO COLECTIVO LAZARO CARDENAS|EJIDO COLECTIVO LAZARO CARDENAS|212321|0 a 5 personas|JANO_0305@HOTMAIL.COM||jul-10|Fijo|45
6186049|EJIDO BANCO CUERVITOS|EJIDO BANCOS CUERVITOS|212321|11 a 30 personas|BANCOCUERVITOS@HOTMAIL.COM||jul-10|Fijo|46
6186050|SALINAS DE OMETEPEC||212391|11 a 30 personas|JORGE.MESTAS@SUAVISAL.COM||dic-14|Fijo|47
6186051|MINERIA HESPERIA, S.A. DE C.V.|MINERIA HESPERIA, S.A. DE C.V.|213119|0 a 5 personas|IVONNE.MALEY@PRODIGY.NET.MX||jul-10|Fijo|48
6186052|EJIDO INDUSTRIAL AÑO DE JUAREZ 1972 S.B.C|EJIDO INDUSTRIAL AÑO DE JUAREZ 1972 S.B.C|212391|0 a 5 personas|||jul-10|Fijo|49
6186053|PATSA|PÉTREOS Y AGREGADOS DE TIJUANA, S.A. DE C.V.|212321|11 a 30 personas|CONTADOR.GENERAL@PATSATIJUANA.COM|WWW.PATSATIJUANA.COM|dic-14|Fijo|50
6186054|SALINAS DE CORTEZ, S. DE R.L. DE C.V.|SALINAS DE CORTEZ, S. DE R.L. DE C.V.|212391|11 a 30 personas|SALINASDECORTEZ@PRODIGY.NET.MX||dic-14|Fijo|51
6186055|INDUSTRIAS CALIZAS DE MEXICALI, S.A. DE C.V.|INDUSTRIAS CALIZAS DE MEXICALI, S.A. DE C.V.|212311|11 a 30 personas|ALFONSOMV@LIVE.COM.MX||jul-10|Fijo|52
6186056|EJIDO GENERAL HERIBERTO JARA|EJIDO GENERAL HERIBERTO JARA|212321|6 a 10 personas|EJIDOHERIBERTOJARA@HOTMAIL.COM||jul-10|Fijo|53
6186057|GRUPO CHAPALA NÚMERO 6||212321|6 a 10 personas|||jul-10|Fijo|54
6186058|SALINERA SAN MARTIN, S.P.R. DE RL||212391|0 a 5 personas|||jul-10|Fijo|55
6186059|GRUPO DE TRABAJO NÚMERO 2 B|GRUPO DE TRABAJO NÚMERO 2 B|212321|6 a 10 personas|||dic-14|Fijo|56
6186060|CAMPESINOS MENDOZA SANCHES, S.P.R. DE RL|CAMPESINOS MENDOZA SANCHES, S.P.R. DE R.L.|212321|11 a 30 personas|||jul-10|Fijo|57
6186061|ARROYO AMARGO, S.P.R. DE RL||212321|6 a 10 personas|ALAYNRANGEL@HOTMAIL.COM||jul-10|Fijo|58
6186062|DESARROLLOS ZAPAL, S.A. DE C.V.|DESARROLLOS ZAPAL, S.A. DE C.V.|212221|11 a 30 personas|GZAVALA@MPA-LAPAZ.COM||dic-14|Fijo|59
6186063|GRUPO VARGAS LIMON S.A. DE C.V.|GRUPO VARGAS LIMON, S.A. DE C.V.|212321|6 a 10 personas|GPO_VARGAS_LIMON@HOTMAIL.COM||dic-14|Fijo|60
6186064|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|11 a 30 personas|TYTGUTIERREZ@HOTMAIL.COM||dic-14|Fijo|61
6186065|MINERÍA DE PIEDRA CALIZA||212321|0 a 5 personas|||dic-14|Fijo|62
6186066|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|63
6186067|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|6 a 10 personas|||dic-14|Fijo|64
6186068|CONCRETOS Y TRITURADOS G.VIZCVARRA||212321|0 a 5 personas|||dic-14|Fijo|65
6186069|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|66
6186070|UNIÓN DE TRANSPORTISTAS DE MATRIALES AMADOR||212321|6 a 10 personas|MAT_AMADOR@HOTMAIL.COM||dic-14|Fijo|67
6186071|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|68
6186072|SALINERA SAN AVARISTO||212391|0 a 5 personas|||dic-14|Fijo|69
6186073|CONSTRUCTORA ROJA|CONSTRUCTORA ROJA, S.A. DE C.V.|212321|6 a 10 personas|CONSTRUCTORAROJA@HOTMAIL.COM||dic-14|Fijo|70
6186074|TRITURADORA LOS FLORES||212321|11 a 30 personas|EFRAINFLORESINZUNZA@HOTMAIL.COM||dic-14|Fijo|71
6186075|COMPANIA OCCIDENTAL MEXICANA, S.A. DE C.V.|COMPAÑÍA OCCIDENTAL MEXICANA, S.A. DE C.V.|212392|101 a 250 personas|||dic-14|Fijo|72
6186076|CORTE Y VENTA DE MATERIALES PÉTREOS RANCHO EL COYOTE||212321|11 a 30 personas|SAULIVAN2@HOTMAIL.COM||mar-11|Fijo|73
6186077|CONSTRUCTORA GUSA, S.A. DE C.V.|CONSTRUCTORA GUSA, S.A. DE C.V.|212321|11 a 30 personas|||jul-10|Fijo|74
6186078|SCP DE MATERIALES PARA LA CONSTRUCCIÓN OJEDA HNOS, S.C. RL|SCP DE MATERIALES PARA LA CONSTRUCCIÓN OJEDA HNOS, S.C. R.L.|212321|11 a 30 personas|OJEDAS@PRODIGY.NET.MX||jul-10|Fijo|75
6186079|PRODUCTORA DE MATERIALES DE BAJA CALIFORNIA SUR, S.A. DE C.V.|PRODUCTORA DE MATERIALES DE BAJA CALIFORNIA SUR, S.A. DE C.V.|212321|11 a 30 personas|||jul-10|Fijo|76
6186081|ROCA FOSFORICA MEXICANA II, S.A. DE C.V.|GRUPO FERTINAL, S.A. DE C.V.|212394|251 y más personas|ASALOMON@FERTINAL.COM||jul-10|Fijo|77
6186082|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|6 a 10 personas|||jul-10|Fijo|78
6186084|GLOBAL DRILLING FLUIDS DE MÉXICO|GLOBAL DRILLING FLUIDS DE MEXICO, S.A. DE C.V.|213111|101 a 250 personas||WWW.WEATHERFORD.COM|jul-10|Fijo|79
6186085|KCA DEUTAG OFFSHORE||213111|51 a 100 personas|IRENE.ZAPATA@KCADEUTAG.COM|WWW.KCADEUTAG.COM|mar-11|Fijo|80
6186086|TESCO CORPORATION|DRILLING INNOVATION DE MEXICO SA DE CV|213111|101 a 250 personas|CARLOS_RODRIGUEZ@TESCOCORP.COM|WWW.TESCOCORP.COM|mar-11|Fijo|81
6186087|COMERCIALIZADORA PETROLERA DEL GOLFO, S.A. DE C.V.|COMERCIALIZADORA PETROLERA DEL GOLFO, S.A. DE C.V.|213119|31 a 50 personas|ADMINISTRACION.SEYBAPLAYA@COMERCIALIZADORAPG.COM.MX|WWW.COMERCIALIZADORAPG.COM.MX|jun-12|Fijo|82
6186088|MATERIALES BLANCAS||212321|0 a 5 personas|||dic-14|Fijo|83
6186089|TRITURADORA GIL||212321|11 a 30 personas|||jul-10|Fijo|84
6186090|TRITURADOS EL CAPRICHO||212321|11 a 30 personas|||jul-10|Fijo|85
6186091|TRITURADOS LA GUADALUPANA||212321|6 a 10 personas|||jul-10|Fijo|86
6186092|TRITURADOS Y CONSTRUCCIONES MOYCRUZ|TRITURADOS Y CONSTRUCCIONES MOYCRUZ, S.A. DE C.V.|212321|11 a 30 personas|ASOMOYCRUZ@HOTMAIL.COM||jul-10|Fijo|87
6186093|TRITURADORA CUCSA|CONSTRUCTORES UNIDOS DE CAMPECHE, S.A. DE C.V.|212321|6 a 10 personas|CUCSACONTA@HOTMAIL.COM||jul-10|Fijo|88
6186096|HUNT ROCK MÉXICO R DE RL|HUNT ROCK MEXICO, R. DE R.L.|212299|0 a 5 personas|ALDOAG@HOTMAIL.COM||mar-11|Fijo|89
6186097|MINERALES VESPER, S.A. DE C.V.|MINERALES VESPER, S.A. DE C.V.|212221|11 a 30 personas|||jun-12|Fijo|90
6186098|MINA VIRGO|MINAS DE ALDANA 1633|212232|11 a 30 personas|CANITONALA@HOTMAIL.COM||mar-11|Fijo|91
6186099|SAL JACO|RUEDAS Y ALBA, S.A. DECV|212391|0 a 5 personas|||mar-11|Fijo|92
6186100|COMPAÑÍA MINERA LA DURA|COMPAÑÍA MINERA LA DURA|212221|51 a 100 personas|MIGUELANGELMATAMTS@HOTMAIL.COM||mar-11|Fijo|93
6186101|GRUPO HOLDURA, S. DE R.L. DE C.V.|GRUPO HOLDURA, S. DE R.L. DE C.V.|212222|0 a 5 personas|INGG_DURAN@HOTMAIL.COM||jul-13|Fijo|94
6186103|MINERA RARAMURI, S.A. DE C.V.|MINERA RARAMURI, S.A. DE C.V. (MISA I, II)|212311|11 a 30 personas|GVILLALO@GCC.COM||dic-14|Fijo|95
6186104|MINERA RARAMURI, S.A. DE C.V.|MINERA RARAMURI, S.A. DE C.V. (GATO, TRIGRE, AMIGOS)|212325|0 a 5 personas|PROYECTOSESPECIALES@GCC.COM||dic-14|Fijo|96
6186105|MINERA RARAMURI, S.A. DE C.V.|MINERA RARAMURI, S.A. DE C.V. (MERCURIO I, II, III, IV, V, ESPERANZA, VALGAME DIOS)|212325|0 a 5 personas|PROYECTOSESPECIALES@GCC.COM||dic-14|Fijo|97
6186106|MINERA RARAMURI, S.A. DE C.V.|MINERA RARAMURI, S.A. DE C.V. (PRESIDIO II, II)|212311|11 a 30 personas|PROYECTOSESPECIALES@GCC.COM||dic-14|Fijo|98
6186107|MINERA RARAMURI, S.A. DE C.V.|MINERA RARAMURI, S.A. DE C.V. (NEPTUNO, VENUS, SATURNO, OLIVIA)|212392|0 a 5 personas|PROYECTOSESPECIALES@GCC.COM||dic-14|Fijo|99
6186108|MINERA RARAMURI, S.A. DE C.V.|MINERA RARAMURI, S.A. DE C.V. (CERRO MEXICO, CM I, ROSTRO, ESCALONADO, AMPL. CERRO MEXICO)|212311|11 a 30 personas|PROYECTOSESPECILES@GCC.COM||dic-14|Fijo|100
6186109|MINERA SAN FRANCISCO DEL ORO, S.A. DE C.V.|MINERA SAN FRANCISCO DEL ORO, S.A. DE C.V.|212232|251 y más personas|MCANAS@GRUPOFRISCO.COM.MX||jul-10|Fijo|101
6186110|AGRO MINERA DEL NORTE||212392|6 a 10 personas|||dic-14|Fijo|102
6186111|GRUPO MÉXICO INDUSTRIAL MINERA MEXICO, S.A. DE C.V.|GRUPO MÉXICO INDUSTRIAL MINERA MEXICO, S.A. DE C.V.|212232|251 y más personas|||dic-14|Fijo|103
6186112|VIVIENDA EXTRACTORA DE METAL SIN NOMBRE||212221|0 a 5 personas|||jul-10|Fijo|104
6186113|MINA IMPASA, S.A. DE C.V.|MINA IMPASA, S.A. DE C.V.|212222|11 a 30 personas|||jul-10|Fijo|105
6186114|TAUNA||212221|0 a 5 personas|||jul-10|Fijo|106
6186115|TAUNA||212221|0 a 5 personas|||jul-10|Fijo|107
6186116|TAUNA||212221|0 a 5 personas|||jul-10|Fijo|108
6186117|SUNBURST MINNING DE MÉXICO S.A. DE C.V.|SUNBURST MINNING DE MÉXICO, S.A. DE C.V.|213119|0 a 5 personas|YRIVERA@SUNBURST.COM.MX||dic-14|Fijo|109
6186118|CAMEX MINING COMPANY S.A. DE C.V.|CAMEX MINING COMPANY, S.A. DE C.V.|212222|51 a 100 personas|||dic-14|Fijo|110
6186119|COUER MEXICANA, S.A. DE C.V.|COUER MEXICANA, S.A. DE C.V.|212222|251 y más personas|RMUNDO@COUER.COM.MX|WWW.COUER.COM|jul-10|Fijo|111
6186120|AGNICO EAGLE MÉXICO|AGNICO EAGLE MEXICO, S.A. DE C.V.|212221|251 y más personas|E-MAIL:LUIS.MEDINA@AGNICO-EAGLE.COM||jul-10|Fijo|112
6186121|PROCESADORA DE INDUSTRIALIZADORA DE MATERIALES, S.A. DE C.V.|PROCESADORA DE INDUSTRIALIZADORA DE MATERIALES, S.A. DE C.V.|212321|6 a 10 personas|PIMSACENTRAL@PIMSA.COM|WWW.PIMSA.COM|jul-10|Fijo|113
6186122|MINERA RARAMURI, S.A.|MINERA RARAMURI KEAL|212325|6 a 10 personas|PROYECTOSESPECIALES@GCC.COM||jul-10|Fijo|114
6186123|SALVADOR CHAVEZ RAMIREZ (MINA LA CASUALIDAD Y SAN MAXIMO) FERIFRANSA|CONTRATISTA OBRA MINERA FRANCISCO JAVIER CHAVEZ SOTO|212222|6 a 10 personas|||jul-10|Fijo|115
6186124|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|116
6186125|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|6 a 10 personas|||jul-10|Fijo|117
6186126|INDUSTRIAS DE PERLITA||212399|6 a 10 personas|FAMANEV@GMAIL.COM||jul-10|Fijo|118
6186127|ORTEGA TRUJILLO||212321|0 a 5 personas|GABRIEL.ORTEGA110@GMAIL.COM||jul-10|Fijo|119
6186128|SAL JACO|RUEDAS Y ALBA, S.A. DE C.V.|212391|6 a 10 personas|RALBASAL@PRODIGY.NET.MX||mar-11|Fijo|120
6186129|MINA LA SOLEDAD||212221|6 a 10 personas|||jul-10|Fijo|121
6186130|MINERA DELTA, S.A. DE C.V.|MINERA DELTA, S.A. DE C.V.|213119|11 a 30 personas|DANIELNOSFRIETTA@PRODIGY.NET.MX||jun-12|Fijo|122
6186131|CIA. MINERA REAL DE LOS AZULES, S. DE R.L. DE C.V.|CIA. MINERA REAL DE LOS AZULES, S. DE R.L. DE C.V.|213119|51 a 100 personas|||jul-10|Fijo|123
6186132|GRUPO MINERO LOZOYA, S. DE R.L. DE C.V.|GRUPO MINERO LOZOYA, S. DE R.L. DE C.V.|212222|51 a 100 personas|MINEROSLOZOYA@HOTMAIL.COM||jul-10|Fijo|124
6186134|OTROS SERVICIOS RELACIONADOS CON LA MINERÍA||213119|0 a 5 personas|ABGARZA2@PRODIGY.NET.MX||jul-10|Fijo|125
6186135|PRODUCTOS DE BARRO INDUSTRIALIZADOS, S.A.|PRODUCTOS DE BARRO INDUSTRIALIZADOS, S.A.|212329|31 a 50 personas|||jul-10|Fijo|126
6186136|MINERIA RÍO TINTO, S.A. DE C.V.|MINERIA RÍO TINTO, S.A. DE C.V.|212221|101 a 250 personas|GVIVAR@MRT.MX||jun-12|Fijo|127
6186137|MINERÍA DE SAL||212391|0 a 5 personas|||jul-10|Fijo|128
6186138|EXPLOTACION DE SAL||212391|0 a 5 personas|||jul-10|Fijo|129
6186139|GRUPO INDUSTRIAL GAMO, S. DE R.L.M.I.|GRUPO INDUSTRIAL GAMO, S. DE R.L.M.I.|213119|0 a 5 personas|ABGARZA2@PRODIGY.NET.MX||dic-14|Fijo|130
6186140|TOMBSTONE EXPLORATION DE MEXICO, S.A. DE C.V.|TOMBSTONE EXPLORATION DE MEXICO, S.A. DE C.V.|213119|6 a 10 personas|ABGARZA2@PRODIGY.NET.MX||jul-10|Fijo|131
6186141|MINERÍA DE PLATA||212222|31 a 50 personas|JRCHAVEZG@HOTMAIL.COM||jul-10|Fijo|132
6186142|MATERIALES MAESE, S.A. DE C.V.|MATERIALES MAESE, S.A. DE C.V.|212321|6 a 10 personas|ELIASMEZATORRES@PRODIGY.NET.MX||jul-10|Fijo|133
6186143|MATERIALES SIN NOMBRE||212321|0 a 5 personas|||jul-10|Fijo|134
6186144|BOLIVAR, CUSIHURIACHI Y MALPASO|DIA BRAS MEXICANA|212231|251 y más personas|AVALLES@DIABRAS.COM|WWW.DIABRAS.COM|jul-10|Fijo|135
6186145|MINERIA RARAMURI, S.A. (MERCURIO I)|MINERA RARAMURI, S.A.|212325|0 a 5 personas|GVILLALO@GCC.COM||mar-11|Fijo|136
6186146|MINERA AVENTUREROS DEL YAQUI, S.A. DE C.V.|MINERA AVENTUREROS DEL YAQUI, S.A. DE C.V.|213119|0 a 5 personas|||jul-10|Fijo|137
6186147|MINERA PLATA DEL SUR, S.A. DE C.V.|MINERA PLATA DEL SUR, S.A. DE C.V.|213119|31 a 50 personas|||mar-11|Fijo|138
6186148|CIA MINERA DOLORES, S.A. DE C.V.|CIA MINERA DOLORES, S.A. DE C.V.|212221|251 y más personas|KVICTORIA@CMDOLORES.COM||jul-10|Fijo|139
6186149|UNIDAD NAICA|MINERA MAPLE, S.A. DE C.V.|212232|251 y más personas|JOSE.GALINDO@PERALES.COM.MX||jul-10|Fijo|140
6186151|GRUPO 10 DE ABRIL|GRUPO 10 DE ABRIL|212321|6 a 10 personas|||dic-14|Fijo|141
6186152|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|142
6186153|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|143
6186154|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|144
6186155|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS|BANCO DE BARRO SIN NOMBRE|212329|0 a 5 personas|||dic-14|Fijo|145
6186156|LADRILLERA SIN NOMBRE||212329|0 a 5 personas|||dic-14|Fijo|146
6186157|BANCO DE ARENA SIN NOMBRE|BANCO DE ARENA SIN NOMBRE|212321|6 a 10 personas|||dic-14|Fijo|147
6186158|LADRILLERA SIN NOMBRE||212329|0 a 5 personas|||dic-14|Fijo|148
6186159|BANCO DE ARENA SIN NOMBRE||212321|0 a 5 personas|||dic-14|Fijo|149
6186160|BANCO DE ARENA EL MANGUITO||212321|0 a 5 personas|ROLAN-DIUX@HOTMAIL.COM||dic-14|Fijo|150
6186161|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|151
6186162|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|152
6186163|MINERÍA DE OTRAS ARCILLAS Y DE OTROS MINERALES REFRACTARIOS||212329|0 a 5 personas|||dic-14|Fijo|153
6186164|TRITURADORA EL DESPOBLADO|COMALTITLAN GRUPO CONSTRUCTOR, S.A. DE C. V.|212319|6 a 10 personas|||jul-10|Fijo|154
6186166|BANCO DE BARRO SIN NOMBRE||212329|0 a 5 personas|||jul-10|Fijo|155
6186167|BANCO DE BARRO SIN NOMBRE||212329|0 a 5 personas|||jul-10|Fijo|156
6186168|MINERÍA DE ARENA Y GRAVA PARA LA CONSTRUCCIÓN||212321|0 a 5 personas|||dic-14|Fijo|157
6186169|BANCO DE GRAVA SIN NOMBRE||212321|11 a 30 personas|||mar-11|Fijo|158
6186170|BANCO DE ARENA SIN NOMBRE||212321|0 a 5 personas|||dic-14|Fijo|159
6186171|BANCO DE ARENA Y GRAVA SIN NOMBRE|EJIDO LA ALBARRADA|212321|11 a 30 personas|||dic-14|Fijo|160
6186172|TRITURADOS Y CONSTRUCCIONES DE CHIAPAS, S.A. DE C.V.|TRITURADOS Y CONSTRUCCIONES DE CHIAPAS, S.A. DE C.V.|212321|31 a 50 personas|TYCCHSA@HOTMAIL.COM||jul-10|Fijo|161
6186173|CALERAS MACIEL, S.A. DE C.V.|CALERAS MACIEL, S.A. DE C.V.|212311|51 a 100 personas|CALERASMACIEL@HOTMAIL.COM|WWW.INDUSTRIASCALERASMACIEL.COM|jul-10|Fijo|162
6186174|TEJERIA SIN NOMBRE||212329|0 a 5 personas|||jul-10|Fijo|163
6186175|BANCO DE BARRO SIN NOMBRE||212329|0 a 5 personas|||jul-10|Fijo|164
6186176|BANCO DE ARENA EL CASTAÑO||212321|0 a 5 personas|||mar-11|Fijo|165
6186177|BANCO DE BARRO SIN NOMBRE||212329|6 a 10 personas|||mar-11|Fijo|166
6186178|BANCO DE BARRO SIN NOMBRE||212329|6 a 10 personas|||mar-11|Fijo|167
6186179|BANCO DE BARRO SIN NOMBRE||212329|6 a 10 personas|||mar-11|Fijo|168
6186180|BANCO DE BARRO SIN NOMBRE||212329|0 a 5 personas|||mar-11|Fijo|169
6186181|BANCO DE BARRO SIN NOMBRE||212329|0 a 5 personas|||mar-11|Fijo|170
